"F4000T","UAA","NutsShare","res","x","y"
0,1000,0,5000,3150,3545
0,1400,0,5000,3155,3545
0,1800,0,5000,3160,3545
0,1500,0,5000,3165,3545
0,2200,0,5000,3170,3545
0,2900,0,5000,3175,3545
0,2100,0,5000,3180,3545
0,1500,0,5000,3185,3545
0,500,0,5000,3190,3545
0,2100,0,5000,3195,3545
0,2300,0,5000,3200,3545
0,1200,0,5000,3205,3545
0,2000,0,5000,3210,3545
0,2000,0,5000,3215,3545
0,2100,0,5000,3220,3545
0,2000,0,5000,3225,3545
0,1600,0,5000,3230,3545
0,2200,0,5000,3235,3545
0,2300,0,5000,3240,3545
0,3000,0,5000,3245,3545
0,1900,0,5000,3250,3545
0,300,0,5000,3255,3545
0,800,0,5000,3015,3540
0,1400,0,5000,3060,3540
0,2100,0,5000,3065,3540
0,2000,0,5000,3070,3540
0,2200,0,5000,3075,3540
0,1500,0,5000,3080,3540
0,1400,0,5000,3085,3540
0,2100,0,5000,3090,3540
0,2200,0,5000,3095,3540
0,1700,0,5000,3100,3540
0,1700,0,5000,3105,3540
0,800,0,5000,3110,3540
0,1700,0,5000,3115,3540
0,1700,0,5000,3120,3540
0,2000,0,5000,3125,3540
0,1800,0,5000,3130,3540
0,1800,0,5000,3135,3540
0,1200,0,5000,3140,3540
0,1300,0,5000,3145,3540
0,1600,0,5000,3150,3540
0,1600,0,5000,3155,3540
0,1400,0,5000,3160,3540
0,2200,0,5000,3165,3540
0,1700,0,5000,3170,3540
0,1600,0,5000,3175,3540
0,1600,0,5000,3180,3540
0,800,0,5000,3185,3540
0,1400,0,5000,3190,3540
0,1700,0,5000,3195,3540
0,2100,0,5000,3200,3540
0,2100,0,5000,3205,3540
0,1600,0,5000,3210,3540
0,2100,0,5000,3215,3540
0,2000,0,5000,3220,3540
0,2300,0,5000,3225,3540
0,2400,0,5000,3230,3540
0,3000,0,5000,3235,3540
0,1700,0,5000,3240,3540
0,2300,0,5000,3245,3540
0,3000,0,5000,3250,3540
0,400,0,5000,3255,3540
0,180,0,5000,3020,3535
0,300,0,5000,3025,3535
0,700,0,5000,3030,3535
0,800,0,5000,3035,3535
0,700,0,5000,3060,3535
0,1700,0,5000,3065,3535
0,1900,0,5000,3070,3535
0,2400,0,5000,3075,3535
0,1400,0,5000,3100,3535
0,1800,0,5000,3105,3535
0,1100,0,5000,3110,3535
0,1100,0,5000,3115,3535
0,1500,0,5000,3120,3535
0,2200,0,5000,3125,3535
0,1900,0,5000,3130,3535
0,1700,0,5000,3135,3535
0,900,0,5000,3140,3535
0,1500,0,5000,3145,3535
0,900,0,5000,3150,3535
0,2000,0,5000,3155,3535
0,1600,0,5000,3160,3535
0,2200,0,5000,3165,3535
0,1300,0,5000,3170,3535
